,epoch,acc,time
0,1,0.31351449194809666,18.636300377
1,2,0.37913043311108713,14.325187004
2,3,0.4380797107258569,14.346026299999998
3,4,0.4859057956415674,14.279156364999999
4,5,0.5080434777166533,14.315693780999993
5,6,0.5777536238665166,14.305611716000001
6,7,0.5829710150542466,14.341567456999996
7,8,0.6061956529384074,14.270572164
8,9,0.6397101461239483,14.229615652000007
9,10,0.6120652161214662,14.204002325000005
10,11,0.6644565210394238,14.299093677999991
11,12,0.6523188388218051,14.135525617000013
12,13,0.6514492765392946,14.12737817499999
13,14,0.6731884048684783,14.36054648999999
14,15,0.690507245776446,14.335455097999983
15,16,0.6886594211277755,14.262993676999997
16,17,0.6878260879412942,14.202544529000022
17,18,0.715833329960056,14.434298350999995
18,19,0.7078260857125988,14.210189458000002
19,20,0.7161231915587964,14.375390130000028
